Plant ID,Plant,Group,Treatment,Temp,CO2,Day 0,Day 0,Day 0,Day 1,Day 1,Day 1,Day 2,Day 2 ,Day 2,Day 3,Day 3,Day 3,Day 4,Day 4,Day 4,Day 5,Day 5,Day 5,Day 6,Day 6,Day 6,Day 7,Day 7,Day 7,Day 8,Day 8,Day 8,Day 9,Day 9,Day 9,Final_adaxial_AVG,Final_Abaxial_AVG,LCI_4,LCI_4,LCI_4,LCI_5,LCI_5,LCI_5,LCI_6,LCI_6,LCI_6,LCI_7,LCI_7,LCI_7,LCI_9,LCI_9,LCI_9,LCI_15,LCI_15,LCI_15,Final_LCI_Avg,Fresh_Mass,DryMass,Leaf_Disc
E0203,S.melongena,E02,Control,30,400,,,,,,,,,,,,,,,,56,51,,,,,64,55,46,,,,,,,55.00,35.00,,,,,,,,,,,,,,,,,,,,32.84,6.19,0.0077
E0204,S.melongena,E02,Control,30,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0301,S.melongena,E03,Warming,38,400,,,,,,,,,,,,,,,,43,45,,,,,59,44,28,,,,,,,43.67,46.33,,,,,,,,,,,,,,,,,,,,10.91,1.70,0.0051
E0302,S.melongena,E03,Warming,38,400,,,,,,,,,,,,,,,,59,50,,,,,65,47,32,,,,,,,48.00,42.00,,,,,,,,,,,,,,,,,,,,25.78,4.77,0.0087
E0303,S.melongena,E03,Warming,38,400,,,,,,,,,,,,,,,,46,39,,,,,45,39,28,,,,,,,37.33,52.67,,,,,,,,,,,,,,,,,,,,14.66,2.32,0.0063
E0304,S.melongena,E03,Warming,38,400,,,,,,,,,,,,,,,,49,56,,,,,56,54,32,,,,,,,47.33,42.67,,,,,,,,,,,,,,,,,,,,25.65,4.55,0.0089
E0401,S.melongena,E04,eCO2,30,800,,,,,,,,,,,,,,,,67,56,,,,,59,54,46,,,,,,,53.00,37.00,,,,,,,,,,,,,,,,,,,,32.26,6.67,0.0116
E0402,S.melongena,E04,eCO2,30,800,,,,,,,,,,,,,,,,65,50,,,,,62,59,43,,,,,,,54.67,35.33,,,,,,,,,,,,,,,,,,,,7.16,1.45,0.01
E0403,S.melongena,E04,eCO2,30,800,,,,,,,,,,,,,,,,64,50,,,,,61,57,49,,,,,,,55.67,34.33,,,,,,,,,,,,,,,,,,,,18.88,2.67,0.0096
E0404,S.melongena,E04,eCO2,30,800,,,,,,,,,,,,,,,,62,54,,,,,62,53,45,,,,,,,53.33,36.67,,,,,,,,,,,,,,,,,,,,32.22,7.08,0.0107
Pp0101,P.pruinosa,Pp01,Warming+eCO2,38,800,45,45,,,,,42,60,,,,,,,,60,57,,,,,,,,,,,,,,54.75,35.25,,,,,,,,,,,,,,,,,,,,,,
Pp0102,P.pruinosa,Pp01,Warming+eCO2,38,800,30,65,,,,,50,55,,,,,,,,47,59,,,,,,,,,,,,,,52.75,37.25,,,,,,,,,,,,,,,,,,,,,,
Pp0103,P.pruinosa,Pp01,Warming+eCO2,38,800,48,40,,,,,47,54,,,,,,,,50,55,,,,,,,,,,,,,,51.50,38.50,,,,,,,,,,,,,,,,,,,,,,
Pp0104,P.pruinosa,Pp01,Warming+eCO2,38,800,36,52,,,,,56,58,,,,,,,,64,70,,,,,,,,,,,,,,62.00,28.00,,,,,,,,,,,,,,,,,,,,,,
Pp0105,P.pruinosa,Pp01,Warming+eCO2,38,800,52,38,,,,,64,59,,,,,,,,56,55,,,,,,,,,,,,,,58.50,31.50,,,,,,,,,,,,,,,,,,,,,,
Pp0106,P.pruinosa,Pp01,Warming+eCO2,38,800,30,36,,,,,46,72,,,,,,,,52,58,,,,,,,,,,,,,,57.00,33.00,,,,,,,,,,,,,,,,,,,,,,
Pp0201,P.pruinosa,Pp02,Warming,38,400,40,50,,,,,45,54,,,,,,,,66,49,,,,,,,,,,,,,,53.50,36.50,,,,,,,,,,,,,,,,,,,,,,
Pp0202,P.pruinosa,Pp02,Warming,38,400,47,48,,,,,75,62,,,,,,,,52,63,,,,,,,,,,,,,,63.00,27.00,,,,,,,,,,,,,,,,,,,,,,
Pp0203,P.pruinosa,Pp02,Warming,38,400,32,39,,,,,58,50,,,,,,,,54,54,,,,,,,,,,,,,,54.00,36.00,,,,,,,,,,,,,,,,,,,,,,
Pp0204,P.pruinosa,Pp02,Warming,38,400,45,44,,,,,44,60,,,,,,,,65,48,,,,,,,,,,,,,,54.25,35.75,,,,,,,,,,,,,,,,,,,,,,
Pp0205,P.pruinosa,Pp02,Warming,38,400,47,43,,,,,55,60,,,,,,,,71,49,,,,,,,,,,,,,,58.75,31.25,,,,,,,,,,,,,,,,,,,,,,
Pp0206,P.pruinosa,Pp02,Warming,38,400,43,44,,,,,60,48,,,,,,,,64,49,,,,,,,,,,,,,,55.25,34.75,,,,,,,,,,,,,,,,,,,,,,
Pp0301,P.pruinosa,Pp03,eCO2,30,800,32,34,,,,,40,43,,,,,,,,39,46,,,,,,,,,,,,,,42.00,48.00,,,,,,,,,,,,,,,,,,,,,,
Pp0302,P.pruinosa,Pp03,eCO2,30,800,25,32,,,,,45,56,,,,,,,,52,38,,,,,,,,,,,,,,47.75,42.25,,,,,,,,,,,,,,,,,,,,,,
Pp0303,P.pruinosa,Pp03,eCO2,30,800,36,40,,,,,42,53,,,,,,,,62,59,,,,,,,,,,,,,,54.00,36.00,,,,,,,,,,,,,,,,,,,,,,
Pp0304,P.pruinosa,Pp03,eCO2,30,800,34,31,,,,,56,62,,,,,,,,54,46,,,,,,,,,,,,,,54.50,35.50,,,,,,,,,,,,,,,,,,,,,,
Pp0305,P.pruinosa,Pp03,eCO2,30,800,34,45,,,,,38,42,,,,,,,,64,56,,,,,,,,,,,,,,50.00,40.00,,,,,,,,,,,,,,,,,,,,,,
Pp0306,P.pruinosa,Pp03,eCO2,30,800,,,,,,,52,45,,,,,,,,45,40,,,,,,,,,,,,,,45.50,44.50,,,,,,,,,,,,,,,,,,,,,,
Pp0401,P.pruinosa,Pp04,Control,30,400,40,60,,,,,44,70,,,,,,,,63,65,,,,,,,,,,,,,,60.50,29.50,,,,,,,,,,,,,,,,,,,,,,
Pp0402,P.pruinosa,Pp04,Control,30,400,49,41,,,,,60,58,,,,,,,,53,65,,,,,,,,,,,,,,59.00,31.00,,,,,,,,,,,,,,,,,,,,,,
Pp0403,P.pruinosa,Pp04,Control,30,400,48,42,,,,,62,56,,,,,,,,71,65,,,,,,,,,,,,,,63.50,26.50,,,,,,,,,,,,,,,,,,,,,,
Pp0404,P.pruinosa,Pp04,Control,30,400,42,33,,,,,58,54,,,,,,,,58,55,,,,,,,,,,,,,,56.25,33.75,,,,,,,,,,,,,,,,,,,,,,
Pp0405,P.pruinosa,Pp04,Control,30,400,39,48,,,,,47,58,,,,,,,,53,57,,,,,,,,,,,,,,53.75,36.25,,,,,,,,,,,,,,,,,,,,,,
Pp0406,P.pruinosa,Pp04,Control,30,400,38,48,,,,,55,57,,,,,,,,65,56,,,,,,,,,,,,,,58.25,31.75,,,,,,,,,,,,,,,,,,,,,,
HIB0101,H.rosa-sinensis,HIB01,Control,30,400,,,,92,87,85,,,,,,,,,,,,,,,,,,,,,,63,49,39,50.33,39.67,,,,,,,,,,,,,,,,,,,,,10.81,0.01
HIB0102,H.rosa-sinensis,HIB01,Control,30,400,,,,82,75,74,,,,,,,,,,,,,,,,,,,,,,65,53,34,50.67,39.33,,,,,,,,,,,,,,,,,,,,,10.77,0.0106
HIB0103,H.rosa-sinensis,HIB01,Control,30,400,,,,78,73,68,,,,,,,,,,,,,,,,,,,,,,84,56,64,68.00,22.00,,,,,,,,,,,,,,,,,,,,,8.92,0.0115
